,Zip_simple,tot_accidents
0,27610,6477
1,28208,6453
2,28216,5985
3,28205,5938
4,91706,5866
5,91761,5398
6,27604,5248
7,28262,5040
8,78753,4874
9,29210,4866
10,29615,4826
11,90022,4735
12,27603,4654
13,70808,4638
14,28273,4623
15,90248,4606
16,27606,4579
17,92507,4566
18,70816,4520
19,48507,4437
20,91765,4393
21,90023,4376
22,28217,4344
23,70802,4273
24,78704,4255
25,37211,4243
26,90703,4233
27,29223,4225
28,27609,4206
29,92407,4193
30,75243,4159
31,90012,4103
32,28206,4040
33,28213,4011
34,28269,3859
35,70809,3857
36,91403,3845
37,37013,3829
38,90805,3769
39,28277,3743
40,94551,3720
41,94607,3664
42,90650,3650
43,30312,3631
44,78741,3630
45,78744,3602
46,29611,3593
47,27616,3576
48,92108,3575
49,91748,3575
50,37207,3545
51,27607,3509
52,37210,3503
53,91342,3452
54,77002,3427
55,92324,3423
56,29303,3412
57,90031,3393
58,95033,3309
59,90027,3277
60,27612,3242
61,49503,3237
62,75207,3225
63,28227,3222
64,78745,3216
65,75228,3215
66,90601,3189
67,90033,3188
68,37203,3153
69,70806,3151
70,29607,3147
71,91321,3140
72,95823,3112
73,27529,3086
74,33150,3079
75,90015,3059
76,91745,3051
77,28078,3046
78,29203,3045
79,28204,3038
80,90606,3026
81,33169,3025
82,90040,3024
83,30309,3015
84,48439,3002
85,28214,3000
86,70805,2982
87,29605,2937
88,70815,2931
89,90003,2930
90,73112,2918
91,60123,2904
92,78759,2886
93,28202,2883
94,80216,2874
95,78701,2860
96,90007,2837
97,28215,2798
98,48503,2797
99,94710,2795
100,29673,2781
101,90064,2757
102,33168,2756
103,90230,2752
104,91746,2737
105,78758,2735
106,90044,2730
107,37217,2728
108,32256,2727
109,94520,2718
110,30906,2712
111,30315,2681
112,92879,2679
113,95112,2667
114,77024,2666
115,29073,2661
116,85282,2658
117,92806,2651
118,95304,2648
119,90670,2634
120,29301,2630
121,23224,2630
122,77027,2627
123,94565,2627
124,92780,2611
125,85009,2610
126,30909,2594
127,28212,2559
128,94541,2550
129,27615,2545
130,17601,2539
131,91331,2530
132,95841,2529
133,49504,2523
134,60148,2521
135,90250,2519
136,94545,2517
137,23220,2498
138,77004,2493
139,92868,2479
140,32819,2470
141,92880,2463
142,77007,2463
143,30308,2450
144,90262,2445
145,33179,2410
146,94588,2408
147,77009,2405
148,33020,2401
149,98108,2395
150,77022,2392
151,30331,2381
152,78702,2372
153,78660,2369
154,78752,2365
155,60126,2364
156,28226,2355
157,91766,2354
158,91740,2354
159,90810,2352
160,55112,2348
161,32839,2345
162,84115,2337
163,92807,2328
164,91752,2323
165,23227,2316
166,75217,2315
167,77072,2309
168,30324,2302
169,95821,2300
170,91352,2290
171,90063,2289
172,92801,2279
173,90034,2279
174,75238,2273
175,73107,2269
176,95377,2268
177,91702,2268
178,95110,2266
179,94608,2260
180,90815,2255
181,29229,2255
182,37209,2254
183,28211,2253
184,75220,2252
185,33126,2252
186,90059,2240
187,95116,2232
188,90049,2226
189,94539,2226
190,80229,2222
191,29651,2216
192,92618,2214
193,23223,2214
194,90061,2200
195,32805,2191
196,78746,2186
197,92374,2179
198,78653,2176
199,91768,2173
200,27560,2173
201,92626,2169
202,91791,2167
203,94534,2162
204,29526,2161
205,90241,2161
206,78723,2158
207,92335,2157
208,95128,2152
209,94553,2152
210,77036,2152
211,02903,2133
212,91773,2126
213,30339,2124
214,91710,2119
215,77017,2095
216,29406,2093
217,60120,2086
218,55404,2083
219,97220,2076
220,77092,2063
221,77042,2051
222,70501,2047
223,37214,2041
224,28203,2038
225,37115,2038
226,92501,2036
227,79936,2028
228,90304,2024
229,73119,2019
230,92808,2018
231,92028,2016
232,23219,2003
233,19406,2000
234,94303,1986
235,30340,1984
236,84123,1984
237,80204,1971
238,85043,1968
239,70506,1968
240,74133,1964
241,49507,1963
242,95817,1959
243,75224,1953
244,48423,1947
245,23230,1942
246,90001,1939
247,27601,1933
248,98134,1932
249,29579,1926
250,60047,1924
251,92316,1924
252,94597,1923
253,48532,1921
254,90745,1919
255,78724,1910
256,78748,1903
257,29621,1900
258,75241,1898
259,33610,1898
260,29609,1895
261,33127,1889
262,77074,1889
263,90068,1888
264,97217,1886
265,90025,1881
266,60523,1878
267,33312,1877
268,95035,1876
269,93308,1874
270,92683,1873
271,07024,1870
272,37204,1864
273,48211,1861
274,75234,1858
275,91602,1852
276,33311,1851
277,19428,1849
278,90045,1846
279,95818,1846
280,75247,1845
281,29687,1842
282,77003,1841
283,94806,1839
284,94952,1832
285,90221,1829
286,11201,1828
287,75211,1826
288,29681,1821
289,75215,1817
290,94533,1815
291,77037,1813
292,30034,1809
293,23225,1803
294,10452,1801
295,73127,1795
296,91764,1792
297,70508,1791
298,94130,1786
299,29316,1784
300,90016,1783
301,92102,1781
302,92408,1780
303,90740,1775
304,48504,1774
305,77060,1771
306,45417,1765
307,94062,1761
308,94558,1755
309,94107,1754
310,33136,1754
311,77021,1752
312,75062,1752
313,75229,1750
